te_estimator,window_size,field_def,cmi_regimes,threshold_mode,sink_mode,thr_bot,thr_top,cooldown,max_posiciones,pnl_pct,portfolio_final,bh_pnl,alpha_bh,n_compras,n_ventas,n_trades,n_ignorados,win_rate,pos_finales,valid
binning,8,analogical,2,adaptive_percentile,score_component,0.55,0.7,48,5,8.31,1083.05,7.35,0.95,736,783,1519,61,51.7,5,True
binning,8,analogical,2,adaptive_percentile,score_component,0.55,0.7,48,7,26.05,1260.45,7.35,18.69,746,783,1529,51,51.0,7,True
binning,8,analogical,2,adaptive_percentile,score_component,0.55,0.7,48,9,38.08,1380.78,7.35,30.72,749,783,1532,48,50.8,9,True
binning,8,analogical,2,adaptive_percentile,score_component,0.55,0.7,96,5,47.15,1471.48,7.35,39.79,370,397,767,31,51.1,4,True
binning,8,analogical,2,adaptive_percentile,score_component,0.55,0.7,96,7,63.73,1637.32,7.35,56.38,377,397,774,24,50.4,6,True
binning,8,analogical,2,adaptive_percentile,score_component,0.55,0.7,96,9,93.95,1939.52,7.35,86.6,382,397,779,19,50.6,8,True
binning,8,analogical,2,adaptive_percentile,score_component,0.55,0.75,0,5,-92.49,75.1,7.35,-99.84,7973,8528,16501,10445,50.8,3,True
binning,8,analogical,2,adaptive_percentile,score_component,0.55,0.75,0,7,-83.83,161.69,7.35,-91.19,8462,8851,17313,9633,51.0,5,True
binning,8,analogical,2,adaptive_percentile,score_component,0.55,0.75,0,9,-73.96,260.35,7.35,-81.32,8642,8951,17593,9353,51.3,7,True
binning,8,analogical,2,adaptive_percentile,score_component,0.55,0.75,24,5,-22.84,771.62,7.35,-30.19,1318,1394,2712,254,51.6,5,True
binning,8,analogical,2,adaptive_percentile,score_component,0.55,0.75,24,7,-34.7,653.04,7.35,-42.05,1310,1394,2704,262,50.3,4,True
binning,8,analogical,2,adaptive_percentile,score_component,0.55,0.75,24,9,2.35,1023.46,7.35,-5.01,1337,1394,2731,235,51.9,8,True
binning,8,analogical,2,adaptive_percentile,score_component,0.55,0.75,48,5,5.71,1057.06,7.35,-1.65,691,739,1430,106,50.6,5,True
binning,8,analogical,2,adaptive_percentile,score_component,0.55,0.75,48,7,28.98,1289.77,7.35,21.62,705,739,1444,92,50.2,7,True
binning,8,analogical,2,adaptive_percentile,score_component,0.55,0.75,48,9,55.59,1555.92,7.35,48.24,713,739,1452,84,50.9,9,True
binning,8,analogical,2,adaptive_percentile,score_component,0.55,0.75,96,5,58.17,1581.71,7.35,50.82,364,387,751,37,49.9,5,True
binning,8,analogical,2,adaptive_percentile,score_component,0.55,0.75,96,7,100.04,2000.36,7.35,92.68,372,387,759,29,50.6,7,True
binning,8,analogical,2,adaptive_percentile,score_component,0.55,0.75,96,9,123.66,2236.6,7.35,116.31,375,387,762,26,51.9,9,True
binning,8,analogical,2,adaptive_percentile,score_component,0.55,0.8,24,7,-14.44,855.65,7.35,-21.79,978,1030,2008,593,49.2,5,True
binning,8,analogical,2,adaptive_percentile,score_component,0.55,0.8,24,9,-0.67,993.34,7.35,-8.02,986,1030,2016,585,49.4,8,True
binning,8,analogical,2,adaptive_percentile,score_component,0.55,0.8,48,5,-3.1,969.02,7.35,-10.45,596,636,1232,201,51.1,4,True
binning,8,analogical,2,adaptive_percentile,score_component,0.55,0.8,48,7,19.16,1191.65,7.35,11.81,603,636,1239,194,48.6,6,True
binning,8,analogical,2,adaptive_percentile,score_component,0.55,0.8,0,5,-53.14,468.62,7.35,-60.49,2561,2686,5247,21699,49.5,5,True
binning,8,analogical,2,adaptive_percentile,score_component,0.55,0.8,0,7,-37.75,622.49,7.35,-45.11,2582,2686,5268,21678,49.2,7,True
binning,8,analogical,2,adaptive_percentile,score_component,0.55,0.8,0,9,-36.14,638.58,7.35,-43.5,2598,2686,5284,21662,48.8,9,True
binning,8,analogical,2,adaptive_percentile,score_component,0.55,0.8,24,5,-11.6,884.03,7.35,-18.95,969,1030,1999,602,50.2,5,True
binning,8,analogical,2,adaptive_percentile,score_component,0.55,0.8,48,9,39.94,1399.43,7.35,32.59,608,636,1244,189,49.5,8,True
binning,8,analogical,2,adaptive_percentile,score_component,0.55,0.8,96,5,27.91,1279.14,7.35,20.56,329,355,684,72,49.0,4,True
binning,8,analogical,2,adaptive_percentile,score_component,0.55,0.8,96,7,41.04,1410.39,7.35,33.68,338,355,693,63,50.7,6,True
binning,8,analogical,2,adaptive_percentile,score_component,0.55,0.8,96,9,59.68,1596.8,7.35,52.33,340,355,695,61,49.3,8,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.55,24,7,-15.36,846.38,7.35,-22.72,1488,1571,3059,73,50.2,5,True
