te_estimator,window_size,field_def,cmi_regimes,threshold_mode,sink_mode,orig_pnl,best_pnl,best_thr_bot,best_thr_top,best_cooldown,alpha_bh,n_trades,win_rate,elapsed_s
knn,30,jacobian,3,adaptive_percentile,filter_and,3.43,246.21,0.7,0.6,0,160.14,625,38.1,131.7
binning,20,jacobian,2,adaptive_percentile,score_component,-12.52,237.32,0.65,0.6,0,151.25,924,26.4,71.4
kde,20,jacobian,2,adaptive_percentile,score_component,-12.52,237.32,0.65,0.6,0,151.25,924,26.4,174.4
binning,30,jacobian,2,adaptive_percentile,score_component,-22.43,232.96,0.6,0.7,96,146.89,90,75.0,89.0
kde,30,jacobian,2,adaptive_percentile,score_component,-22.43,232.96,0.6,0.7,96,146.89,90,75.0,176.7
binning,30,jacobian,3,adaptive_percentile,score_component,-31.07,228.53,0.45,0.7,96,142.46,89,75.0,89.1
kde,30,jacobian,3,adaptive_percentile,score_component,-31.07,228.53,0.45,0.7,96,142.46,89,75.0,178.5
binning,20,jacobian,2,adaptive_percentile,filter_and,-4.89,218.06,0.65,0.45,0,131.99,364,34.6,69.8
kde,20,jacobian,2,adaptive_percentile,filter_and,-4.89,218.06,0.65,0.45,0,131.99,364,34.6,189.3
binning,15,jacobian,2,fixed,filter_and,74.16,210.68,0.45,0.65,0,124.61,10,0.0,55.7
kde,15,jacobian,2,fixed,filter_and,74.16,210.68,0.45,0.65,0,124.61,10,0.0,159.1
binning,20,jacobian,3,adaptive_percentile,score_component,-11.46,205.91,0.65,0.7,96,119.84,101,66.7,72.1
kde,20,jacobian,3,adaptive_percentile,score_component,-11.46,205.91,0.65,0.7,96,119.84,101,66.7,178.8
knn,30,jacobian,2,adaptive_percentile,filter_and,-4.8,205.3,0.7,0.7,96,119.23,89,72.7,195.0
knn,20,jacobian,2,adaptive_percentile,filter_and,2.32,201.66,0.45,0.45,96,115.59,107,66.0,124.5
binning,30,analogical,2,adaptive_percentile,filter_and,-5.43,200.02,0.6,0.7,24,113.95,153,67.5,86.9
kde,30,analogical,2,adaptive_percentile,filter_and,-5.43,200.02,0.6,0.7,24,113.95,153,67.5,173.6
knn,20,jacobian,3,adaptive_percentile,filter_and,-9.88,198.13,0.45,0.65,96,112.06,101,74.5,106.1
binning,10,jacobian,2,adaptive_percentile,filter_and,-12.57,195.36,0.45,0.7,24,109.29,211,53.3,56.5
binning,10,jacobian,3,adaptive_percentile,filter_and,-12.57,195.36,0.45,0.7,24,109.29,211,53.3,55.7
kde,10,jacobian,2,adaptive_percentile,filter_and,-12.57,195.36,0.45,0.7,24,109.29,211,53.3,221.1
kde,10,jacobian,3,adaptive_percentile,filter_and,-12.57,195.36,0.45,0.7,24,109.29,211,53.3,246.5
binning,30,analogical,3,adaptive_percentile,filter_and,-7.77,193.64,0.45,0.7,24,107.57,149,68.0,86.9
kde,30,analogical,3,adaptive_percentile,filter_and,-7.77,193.64,0.45,0.7,24,107.57,149,68.0,174.8
binning,15,analogical,2,adaptive_percentile,score_component,-30.28,191.98,0.6,0.65,48,105.91,420,45.3,67.4
kde,15,analogical,2,adaptive_percentile,score_component,-30.28,191.98,0.6,0.65,48,105.91,420,45.3,198.7
knn,15,jacobian,2,adaptive_percentile,filter_and,1.48,191.25,0.6,0.7,96,105.18,138,63.8,128.9
knn,15,jacobian,3,adaptive_percentile,filter_and,1.48,191.25,0.6,0.7,96,105.18,138,63.8,124.1
binning,15,analogical,3,adaptive_percentile,score_component,-30.29,188.79,0.45,0.45,48,102.72,459,44.9,66.4
kde,15,analogical,3,adaptive_percentile,score_component,-30.29,188.79,0.45,0.45,48,102.72,459,44.9,210.3
binning,20,analogical,2,adaptive_percentile,score_component,-24.1,186.76,0.65,0.7,48,100.69,285,51.0,73.5
kde,20,analogical,2,adaptive_percentile,score_component,-24.1,186.76,0.65,0.7,48,100.69,285,51.0,236.1
binning,20,analogical,2,adaptive_percentile,filter_and,-5.84,184.63,0.6,0.7,24,98.56,148,60.0,68.6
kde,20,analogical,2,adaptive_percentile,filter_and,-5.84,184.63,0.6,0.7,24,98.56,148,60.0,195.6
binning,30,analogical,2,adaptive_percentile,score_component,-14.95,184.1,0.65,0.7,48,98.03,290,49.7,90.3
kde,30,analogical,2,adaptive_percentile,score_component,-14.95,184.1,0.65,0.7,48,98.03,290,49.7,185.7
binning,20,analogical,3,adaptive_percentile,filter_and,12.29,183.89,0.6,0.7,24,97.82,135,61.8,69.3
kde,20,analogical,3,adaptive_percentile,filter_and,12.29,183.89,0.6,0.7,24,97.82,135,61.8,210.0
binning,15,analogical,2,adaptive_percentile,filter_and,-2.22,181.88,0.6,0.65,24,95.81,214,53.2,59.8
kde,15,analogical,2,adaptive_percentile,filter_and,-2.22,181.88,0.6,0.65,24,95.81,214,53.2,241.8
binning,10,jacobian,2,adaptive_percentile,score_component,-20.23,180.3,0.6,0.6,96,94.23,351,48.0,68.7
binning,10,jacobian,3,adaptive_percentile,score_component,-20.23,180.3,0.6,0.6,96,94.23,351,48.0,68.4
kde,10,jacobian,2,adaptive_percentile,score_component,-20.23,180.3,0.6,0.6,96,94.23,351,48.0,192.6
kde,10,jacobian,3,adaptive_percentile,score_component,-20.23,180.3,0.6,0.6,96,94.23,351,48.0,255.0
binning,15,analogical,3,adaptive_percentile,filter_and,-0.59,179.66,0.65,0.7,24,93.59,187,56.8,61.0
kde,15,analogical,3,adaptive_percentile,filter_and,-0.59,179.66,0.65,0.7,24,93.59,187,56.8,166.8
knn,15,analogical,2,adaptive_percentile,score_component,-5.31,175.27,0.65,0.7,96,89.2,627,39.4,129.1
knn,20,analogical,3,adaptive_percentile,filter_and,-8.39,175.2,0.6,0.7,48,89.13,252,53.1,138.8
binning,30,analogical,3,adaptive_percentile,score_component,-18.29,173.96,0.45,0.6,48,87.89,332,46.2,88.5
kde,30,analogical,3,adaptive_percentile,score_component,-18.29,173.96,0.45,0.6,48,87.89,332,46.2,178.8
knn,30,analogical,2,adaptive_percentile,score_component,-25.32,173.09,0.65,0.7,96,87.02,491,44.0,144.8
knn,15,analogical,3,adaptive_percentile,score_component,-4.93,172.21,0.45,0.7,96,86.14,634,38.4,157.6
binning,20,analogical,3,adaptive_percentile,score_component,-29.47,170.98,0.6,0.65,48,84.91,314,47.5,74.1
