te_estimator,window_size,field_def,cmi_regimes,threshold_mode,sink_mode,thr_bot,thr_top,cooldown,max_posiciones,pnl_pct,portfolio_final,bh_pnl,alpha_bh,n_compras,n_ventas,n_trades,n_ignorados,win_rate,pos_finales,elapsed_s,valid
binning,15,analogical,2,adaptive_percentile,filter_and,0.55,0.55,0,5,-9.55,904.45,7.35,-16.91,620,639,1259,2483,60.3,0,65.54,True
kde,15,analogical,2,adaptive_percentile,filter_and,0.55,0.55,0,5,-9.55,904.45,7.35,-16.91,620,639,1259,2483,60.3,0,175.35,True
binning,30,analogical,2,fixed,score_component,0.55,0.55,0,5,-12.23,877.74,7.35,-19.58,47,50,97,185,54.0,0,89.63,True
kde,30,analogical,2,fixed,score_component,0.55,0.55,0,5,-12.23,877.74,7.35,-19.58,47,50,97,185,54.0,0,191.1,True
binning,20,analogical,3,fixed,filter_and,0.55,0.55,0,5,-13.09,869.11,7.35,-20.44,23,23,46,52,39.1,1,71.89,True
kde,20,analogical,3,fixed,filter_and,0.55,0.55,0,5,-13.09,869.11,7.35,-20.44,23,23,46,52,39.1,1,179.19,True
binning,20,jacobian,2,adaptive_percentile,filter_and,0.55,0.55,0,5,-15.25,847.46,7.35,-22.61,356,387,743,1599,49.4,0,76.59,True
kde,20,jacobian,2,adaptive_percentile,filter_and,0.55,0.55,0,5,-15.25,847.46,7.35,-22.61,356,387,743,1599,49.4,0,183.93,True
binning,10,analogical,2,adaptive_percentile,filter_and,0.55,0.55,0,5,-15.34,846.64,7.35,-22.69,344,346,690,4980,51.7,0,64.46,True
binning,10,analogical,3,adaptive_percentile,filter_and,0.55,0.55,0,5,-15.34,846.64,7.35,-22.69,344,346,690,4980,51.7,0,60.87,True
kde,10,analogical,2,adaptive_percentile,filter_and,0.55,0.55,0,5,-15.34,846.64,7.35,-22.69,344,346,690,4980,51.7,0,170.83,True
kde,10,analogical,3,adaptive_percentile,filter_and,0.55,0.55,0,5,-15.34,846.64,7.35,-22.69,344,346,690,4980,51.7,0,169.58,True
binning,30,analogical,3,fixed,score_component,0.55,0.55,0,5,-15.92,840.75,7.35,-23.28,99,102,201,644,48.0,0,91.98,True
kde,30,analogical,3,fixed,score_component,0.55,0.55,0,5,-15.92,840.75,7.35,-23.28,99,102,201,644,48.0,0,192.3,True
binning,30,jacobian,2,adaptive_percentile,filter_and,0.55,0.55,0,5,-16.76,832.43,7.35,-24.11,287,312,599,1803,45.2,1,93.53,True
kde,30,jacobian,2,adaptive_percentile,filter_and,0.55,0.55,0,5,-16.76,832.43,7.35,-24.11,287,312,599,1803,45.2,1,196.41,True
binning,30,analogical,3,adaptive_percentile,filter_and,0.55,0.55,0,5,-20.28,797.21,7.35,-27.63,492,513,1005,1742,55.8,0,96.28,True
kde,30,analogical,3,adaptive_percentile,filter_and,0.55,0.55,0,5,-20.28,797.21,7.35,-27.63,492,513,1005,1742,55.8,0,198.1,True
binning,20,analogical,2,adaptive_percentile,filter_and,0.55,0.55,0,5,-20.95,790.46,7.35,-28.31,575,601,1176,1647,54.7,0,76.19,True
kde,20,analogical,2,adaptive_percentile,filter_and,0.55,0.55,0,5,-20.95,790.46,7.35,-28.31,575,601,1176,1647,54.7,0,182.02,True
binning,20,jacobian,3,adaptive_percentile,score_component,0.55,0.55,0,5,-22.73,772.72,7.35,-30.08,1022,1136,2158,6333,54.6,0,77.25,True
kde,20,jacobian,3,adaptive_percentile,score_component,0.55,0.55,0,5,-22.73,772.72,7.35,-30.08,1022,1136,2158,6333,54.6,0,190.68,True
binning,30,analogical,2,adaptive_percentile,filter_and,0.55,0.55,0,5,-23.2,768.0,7.35,-30.55,494,515,1009,1912,52.6,0,94.07,True
kde,30,analogical,2,adaptive_percentile,filter_and,0.55,0.55,0,5,-23.2,768.0,7.35,-30.55,494,515,1009,1912,52.6,0,196.01,True
binning,20,jacobian,2,adaptive_percentile,score_component,0.55,0.55,0,5,-28.62,713.84,7.35,-35.97,1006,1134,2140,6377,55.3,0,77.01,True
kde,20,jacobian,2,adaptive_percentile,score_component,0.55,0.55,0,5,-28.62,713.84,7.35,-35.97,1006,1134,2140,6377,55.3,0,183.13,True
binning,10,jacobian,2,adaptive_percentile,filter_and,0.55,0.55,0,5,-30.56,694.4,7.35,-37.91,476,517,993,4572,46.4,0,61.69,True
binning,10,jacobian,3,adaptive_percentile,filter_and,0.55,0.55,0,5,-30.56,694.4,7.35,-37.91,476,517,993,4572,46.4,0,59.53,True
kde,10,jacobian,2,adaptive_percentile,filter_and,0.55,0.55,0,5,-30.56,694.4,7.35,-37.91,476,517,993,4572,46.4,0,171.01,True
kde,10,jacobian,3,adaptive_percentile,filter_and,0.55,0.55,0,5,-30.56,694.4,7.35,-37.91,476,517,993,4572,46.4,0,169.87,True
binning,15,jacobian,3,adaptive_percentile,score_component,0.55,0.55,0,5,-31.87,681.27,7.35,-39.23,1314,1464,2778,9343,57.7,0,68.5,True
kde,15,jacobian,3,adaptive_percentile,score_component,0.55,0.55,0,5,-31.87,681.27,7.35,-39.23,1314,1464,2778,9343,57.7,0,178.95,True
binning,20,jacobian,2,fixed,score_component,0.55,0.55,0,5,-33.14,668.56,7.35,-40.5,921,1000,1921,2015,52.3,5,71.32,True
kde,20,jacobian,2,fixed,score_component,0.55,0.55,0,5,-33.14,668.56,7.35,-40.5,921,1000,1921,2015,52.3,5,178.04,True
binning,15,jacobian,2,adaptive_percentile,score_component,0.55,0.55,0,5,-37.41,625.86,7.35,-44.77,1302,1449,2751,9027,55.8,0,67.59,True
kde,15,jacobian,2,adaptive_percentile,score_component,0.55,0.55,0,5,-37.41,625.86,7.35,-44.77,1302,1449,2751,9027,55.8,0,176.61,True
binning,30,jacobian,2,adaptive_percentile,score_component,0.55,0.55,0,5,-37.44,625.6,7.35,-44.8,883,990,1873,6467,53.7,0,95.68,True
kde,30,jacobian,2,adaptive_percentile,score_component,0.55,0.55,0,5,-37.44,625.6,7.35,-44.8,883,990,1873,6467,53.7,0,197.65,True
binning,30,analogical,2,adaptive_percentile,score_component,0.55,0.55,0,5,-38.56,614.37,7.35,-45.92,1525,1591,3116,6801,58.1,0,95.29,True
kde,30,analogical,2,adaptive_percentile,score_component,0.55,0.55,0,5,-38.56,614.37,7.35,-45.92,1525,1591,3116,6801,58.1,0,198.36,True
binning,30,jacobian,2,fixed,score_component,0.55,0.55,0,5,-40.96,590.39,7.35,-48.32,541,586,1127,2262,47.1,5,89.8,True
kde,30,jacobian,2,fixed,score_component,0.55,0.55,0,5,-40.96,590.39,7.35,-48.32,541,586,1127,2262,47.1,5,192.91,True
binning,20,jacobian,3,fixed,score_component,0.55,0.55,0,5,-40.96,590.36,7.35,-48.32,1143,1244,2387,2350,54.2,5,72.49,True
kde,20,jacobian,3,fixed,score_component,0.55,0.55,0,5,-40.96,590.36,7.35,-48.32,1143,1244,2387,2350,54.2,5,179.0,True
binning,10,jacobian,2,adaptive_percentile,score_component,0.55,0.55,0,5,-43.1,569.02,7.35,-50.45,1391,1530,2921,21830,53.2,0,62.79,True
binning,10,jacobian,3,adaptive_percentile,score_component,0.55,0.55,0,5,-43.1,569.02,7.35,-50.45,1391,1530,2921,21830,53.2,0,62.11,True
kde,10,jacobian,2,adaptive_percentile,score_component,0.55,0.55,0,5,-43.1,569.02,7.35,-50.45,1391,1530,2921,21830,53.2,0,173.8,True
kde,10,jacobian,3,adaptive_percentile,score_component,0.55,0.55,0,5,-43.1,569.02,7.35,-50.45,1391,1530,2921,21830,53.2,0,173.63,True
binning,30,analogical,3,adaptive_percentile,score_component,0.55,0.55,0,5,-44.53,554.73,7.35,-51.88,1526,1612,3138,6784,55.5,0,97.04,True
