tp_id,method,params,type,datetime,ts,tp_price,move_from_prev_pct,candles_from_prev,prev_ts,prev_price,duration_candles,move_pct,max_adverse_excursion_pct,vol_mean,vol_slope,vol_first_vs_second_half,vol_last5_vs_avg,vol_acceleration,taker_ratio_mean,taker_ratio_slope,taker_last5_vs_avg,taker_acceleration,rsi_at_end,rsi_min_during,rsi_max_during,rsi_range,rsi_slope_last5,price_vs_ma20_pct,price_vs_ma50_pct,ma20_slope_last5,below_both_mas,above_both_mas,body_ratio_mean,lower_wick_ratio_mean,upper_wick_ratio_mean,pct_bearish_candles,pct_bullish_candles,consec_same_dir_end,price_slope,volatility_pct,price_acceleration,vol_price_divergence
19889,zigzag,"{""min_move_pct"": 5.0}",TOP,2021-12-07T15:00:00Z,1638889200,51936.33,10.2682,30,1638781200,47100.0,31,10.2682,10.2682,2145.05,-0.027429,1.621,0.9593,0.07583,0.4854,0.000329,1.0212,-0.00253,67.83,32.88,69.6,36.72,0.004031,1.7388,4.3955,0.002129,0,1,0.4111,0.2561,0.3327,41.94,58.06,3,0.002647,0.7887,-0.00287,-0.030076
19890,zigzag,"{""min_move_pct"": 5.0}",BOTTOM,2021-12-08T12:00:00Z,1638964800,48600.0,6.4239,21,1638889200,51936.33,22,6.4239,6.8649,1546.5,0.008612,1.0178,1.4842,0.221502,0.4784,-0.004745,0.9225,-0.011307,33.55,32.43,67.83,35.39,-0.105843,-2.1147,-2.0411,-0.001998,1,0,0.4136,0.2681,0.3182,63.64,36.36,1,-0.001603,0.5336,-0.000196,0.010215
19891,zigzag,"{""min_move_pct"": 5.0}",TOP,2021-12-08T15:00:00Z,1638975600,51200.0,5.3498,3,1638964800,48600.0,4,5.3498,5.3498,2969.53,0.128576,0.5297,1.0,,0.4714,0.046445,1.0,,55.15,31.53,56.32,24.79,0.202991,0.908,0.5418,-0.000732,0,1,0.3668,0.3275,0.3057,50.0,50.0,1,0.011789,1.7552,0.002113,0.116787
19892,zigzag,"{""min_move_pct"": 5.0}",BOTTOM,2021-12-09T20:00:00Z,1639080000,47320.0,7.5781,29,1638975600,51200.0,30,7.5781,8.1995,1518.29,0.018554,0.6803,1.2659,0.078246,0.4749,0.00204,1.0329,0.000171,27.62,26.12,55.29,29.17,-0.05703,-2.8351,-4.2544,-0.002661,1,0,0.3963,0.3303,0.2734,70.0,30.0,1,-0.002018,0.5368,-0.002077,0.020572
19893,zigzag,"{""min_move_pct"": 5.0}",TOP,2021-12-10T13:00:00Z,1639141200,50125.0,5.9277,17,1639080000,47320.0,18,5.9277,5.9277,1615.52,0.023784,0.8384,1.2409,0.187038,0.4811,0.000702,1.024,0.031292,63.22,27.62,63.22,35.6,0.078323,2.9398,0.9979,0.000482,0,1,0.4465,0.2349,0.3186,38.89,61.11,3,0.001322,0.6379,0.002114,0.022462
19894,zigzag,"{""min_move_pct"": 5.0}",BOTTOM,2021-12-11T00:00:00Z,1639180800,46751.0,6.7312,11,1639141200,50125.0,12,6.7312,7.217,2409.19,-0.05808,1.658,0.7984,0.418916,0.4717,-0.004134,0.9929,0.024901,45.72,38.51,63.22,24.7,-0.038709,-0.7409,-1.7321,-0.000885,1,0,0.4972,0.2452,0.2575,50.0,50.0,1,-0.002151,1.0574,0.002967,-0.055929
19895,zigzag,"{""min_move_pct"": 5.0}",TOP,2021-12-12T18:00:00Z,1639332000,50777.0,8.6116,42,1639180800,46751.0,43,8.6116,8.6116,1174.84,-0.004494,1.1171,1.3411,0.078884,0.5049,0.00098,1.0064,-0.002277,69.46,45.72,69.46,23.75,0.025967,2.1885,3.5847,0.001427,0,1,0.473,0.2132,0.3139,37.21,62.79,3,0.000905,0.4727,0.000374,-0.005399
19896,zigzag,"{""min_move_pct"": 5.0}",BOTTOM,2021-12-13T19:00:00Z,1639422000,45672.75,10.0523,25,1639332000,50777.0,26,10.0523,11.1757,1898.25,0.066482,0.471,2.3411,0.171558,0.4744,-0.003868,0.9439,-0.002639,27.96,27.45,69.46,42.01,0.018491,-3.459,-4.6157,-0.002944,1,0,0.4725,0.2999,0.2276,61.54,38.46,2,-0.002585,0.6936,-0.000882,0.069067
19897,zigzag,"{""min_move_pct"": 5.0}",TOP,2021-12-15T20:00:00Z,1639598400,49500.0,8.3797,49,1639422000,45672.75,50,8.3797,8.3797,2087.19,0.0061,0.9159,2.1799,0.09477,0.4954,0.001072,1.0659,-0.003493,65.45,27.4,65.45,38.05,0.137047,2.5819,3.6381,-5.9e-05,0,1,0.3988,0.2903,0.3109,52.0,48.0,5,0.000642,0.7216,-0.000525,0.005458
19898,zigzag,"{""min_move_pct"": 5.0}",BOTTOM,2021-12-17T15:00:00Z,1639753200,45456.0,8.1697,43,1639598400,49500.0,44,8.1697,8.8965,1614.12,0.011584,0.8883,1.9808,0.07944,0.4728,-0.002154,0.9544,-0.000735,35.93,24.19,65.45,41.26,-0.039962,-1.8019,-3.1595,-0.001583,1,0,0.4401,0.3106,0.2493,56.82,43.18,1,-0.001244,0.5635,-0.001066,0.012828
