bot_combo,top_combo,umbral_bot,umbral_top,cooldown,pnl_pct,portfolio,n_buy,n_sell,n_trades,n_ign,win_rate,alpha_vs_bh,alpha_vs_orig
close_position+bb_position+recovery_pct,close_position+drawdown_pct,0.6,0.6,96,3.16,1031.63,90,90,180,56,62.2,78.94,73.0
close_position,close_position,0.8,0.6,96,3.15,1031.47,86,86,172,162,61.6,78.93,72.99
close_position+bb_position+recovery_pct,bb_position,0.6,0.65,96,3.12,1031.24,90,90,180,41,54.4,78.9,72.96
close_position+bb_position+recovery_pct,drawdown_pct+bb_position,0.85,0.65,96,3.07,1030.67,85,85,170,124,63.5,78.85,72.91
bb_position,close_position+bb_position,0.85,0.7,96,3.04,1030.44,85,85,170,133,65.9,78.82,72.88
bb_position,close_position+drawdown_pct,0.85,0.65,96,3.03,1030.26,85,85,170,161,65.9,78.81,72.87
bb_position+recovery_pct,drawdown_pct,0.6,0.65,96,3.02,1030.23,90,90,180,41,62.2,78.8,72.86
close_position+bb_position+recovery_pct,close_position+bb_position,0.85,0.8,96,3.01,1030.11,85,85,170,32,57.6,78.79,72.85
close_position+bb_position,close_position+drawdown_pct+bb_position,0.9,0.6,96,3.0,1029.96,79,79,158,412,69.6,78.78,72.84
bb_position,drawdown_pct+bb_position,0.6,0.65,96,2.98,1029.83,90,90,180,41,61.1,78.76,72.82
close_position+bb_position,drawdown_pct+bb_position,0.6,0.65,96,2.98,1029.83,90,90,180,41,61.1,78.76,72.82
close_position,bb_position,0.7,0.7,96,2.96,1029.58,89,89,178,52,55.1,78.74,72.8
close_position+bb_position,close_position+bb_position,0.7,0.7,96,2.96,1029.57,89,89,178,45,52.8,78.74,72.8
close_position+recovery_pct,close_position+drawdown_pct,0.75,0.7,96,2.96,1029.58,87,87,174,54,58.6,78.74,72.8
recovery_pct,close_position,0.8,0.65,96,2.95,1029.47,86,85,171,122,57.6,78.73,72.79
close_position+recovery_pct,drawdown_pct,0.6,0.6,96,2.93,1029.32,90,90,180,56,58.9,78.71,72.77
bb_position,drawdown_pct,0.65,0.6,96,2.91,1029.05,90,90,180,60,60.0,78.69,72.75
recovery_pct,bb_position,0.6,0.6,96,2.9,1028.97,90,90,180,64,61.1,78.68,72.74
close_position+bb_position+recovery_pct,close_position+drawdown_pct+bb_position,0.85,0.75,96,2.9,1028.98,85,85,170,52,56.5,78.68,72.74
close_position+recovery_pct,close_position+bb_position,0.8,0.6,96,2.89,1028.91,87,87,174,156,63.2,78.67,72.73
close_position+bb_position+recovery_pct,close_position+drawdown_pct+bb_position,0.6,0.6,96,2.89,1028.94,90,90,180,52,60.0,78.67,72.73
close_position+bb_position+recovery_pct,drawdown_pct,0.65,0.6,96,2.86,1028.59,90,90,180,56,58.9,78.64,72.7
recovery_pct,drawdown_pct,0.7,0.65,96,2.85,1028.49,87,87,174,103,59.8,78.63,72.69
close_position+recovery_pct,bb_position,0.75,0.8,96,2.84,1028.41,87,86,173,28,51.2,78.62,72.68
close_position,bb_position,0.65,0.7,96,2.83,1028.32,90,90,180,27,53.3,78.61,72.67
bb_position,drawdown_pct+bb_position,0.8,0.7,96,2.82,1028.22,86,86,172,106,70.9,78.6,72.66
close_position+recovery_pct,drawdown_pct,0.6,0.65,96,2.8,1028.01,90,90,180,36,61.1,78.58,72.64
close_position,drawdown_pct+bb_position,0.6,0.65,96,2.79,1027.89,90,90,180,40,60.0,78.57,72.63
