bot_combo,top_combo,umbral_bot,umbral_top,cooldown,pnl_pct,portfolio,n_buy,n_sell,n_trades,n_ign,win_rate,alpha_vs_bh,alpha_vs_orig
close_position,close_position+bb_position,0.8,0.6,72,-12.32,876.78,110,110,220,234,58.2,63.46,57.52
bb_position,close_position+drawdown_pct+bb_position,0.85,0.8,96,-12.33,876.7,85,84,169,46,53.6,63.45,57.51
recovery_pct,close_position,0.9,0.6,48,-12.33,876.7,142,142,284,523,55.6,63.45,57.51
recovery_pct,bb_position,0.9,0.65,72,-12.33,876.73,104,104,208,319,62.5,63.45,57.51
recovery_pct,close_position+bb_position,0.8,0.8,72,-12.33,876.68,107,107,214,43,50.5,63.45,57.51
close_position+bb_position+recovery_pct,bb_position,0.9,0.6,72,-12.34,876.58,100,100,200,530,56.0,63.44,57.5
close_position+recovery_pct,drawdown_pct+bb_position,0.85,0.75,72,-12.35,876.54,105,105,210,117,59.0,63.43,57.49
close_position+bb_position+recovery_pct,drawdown_pct+bb_position,0.75,0.75,72,-12.35,876.51,111,111,222,43,50.5,63.43,57.49
recovery_pct,bb_position,0.75,0.85,96,-12.36,876.42,87,86,173,13,51.2,63.42,57.48
recovery_pct,close_position+drawdown_pct+bb_position,0.9,0.8,72,-12.36,876.4,104,104,208,81,55.8,63.42,57.48
close_position+recovery_pct,close_position+drawdown_pct,0.9,0.75,72,-12.36,876.41,99,99,198,182,57.6,63.42,57.48
close_position+recovery_pct,drawdown_pct+bb_position,0.8,0.6,72,-12.36,876.38,108,108,216,280,54.6,63.42,57.48
close_position,bb_position,0.8,0.7,72,-12.38,876.19,110,110,220,107,60.9,63.4,57.46
close_position+bb_position,close_position+drawdown_pct,0.75,0.6,72,-12.38,876.25,114,114,228,95,44.7,63.4,57.46
bb_position+recovery_pct,close_position+drawdown_pct,0.8,0.6,72,-12.39,876.09,109,109,218,287,56.9,63.39,57.45
bb_position,close_position+bb_position,0.85,0.6,24,-12.4,876.01,259,263,522,594,53.6,63.38,57.44
recovery_pct,drawdown_pct,0.9,0.65,72,-12.4,875.97,104,104,208,287,52.9,63.38,57.44
recovery_pct,close_position+drawdown_pct,0.7,0.7,72,-12.4,875.99,109,109,218,119,56.9,63.38,57.44
close_position+recovery_pct,close_position,0.85,0.75,72,-12.4,876.02,105,105,210,115,54.3,63.38,57.44
recovery_pct,close_position+bb_position,0.8,0.7,72,-12.41,875.91,107,107,214,179,51.4,63.37,57.43
bb_position+recovery_pct,bb_position,0.65,0.7,72,-12.41,875.92,113,113,226,58,55.8,63.37,57.43
recovery_pct,bb_position,0.9,0.6,72,-12.42,875.83,104,104,208,440,62.5,63.36,57.42
close_position+bb_position,bb_position,0.8,0.75,96,-12.42,875.77,87,87,174,21,46.0,63.36,57.42
close_position+recovery_pct,drawdown_pct+bb_position,0.7,0.65,72,-12.42,875.8,111,111,222,177,57.7,63.36,57.42
bb_position+recovery_pct,close_position+bb_position,0.85,0.6,24,-12.42,875.79,250,253,503,661,56.9,63.36,57.42
bb_position,close_position,0.6,0.6,96,-12.43,875.68,90,90,180,2,53.3,63.35,57.41
recovery_pct,close_position+drawdown_pct+bb_position,0.7,0.7,72,-12.43,875.73,109,109,218,139,57.8,63.35,57.41
close_position+bb_position,close_position,0.6,0.6,96,-12.43,875.68,90,90,180,2,53.3,63.35,57.41
close_position+recovery_pct,close_position,0.85,0.6,72,-12.44,875.6,105,105,210,353,57.1,63.34,57.4
close_position+recovery_pct,close_position+bb_position,0.7,0.65,72,-12.44,875.64,111,111,222,220,60.4,63.34,57.4
bb_position+recovery_pct,close_position+drawdown_pct+bb_position,0.6,0.65,72,-12.44,875.58,115,114,229,86,46.5,63.34,57.4
bb_position,bb_position,0.8,0.6,48,-12.46,875.35,158,158,316,281,55.1,63.32,57.38
close_position+bb_position,close_position,0.9,0.65,12,-12.47,875.31,308,309,617,1067,60.8,63.31,57.37
recovery_pct,drawdown_pct,0.7,0.65,48,-12.48,875.19,160,160,320,180,55.0,63.3,57.36
close_position+bb_position+recovery_pct,drawdown_pct+bb_position,0.85,0.75,72,-12.49,875.07,107,107,214,94,56.1,63.29,57.35
recovery_pct,drawdown_pct+bb_position,0.75,0.6,72,-12.5,874.98,109,109,218,265,56.9,63.28,57.34
close_position+recovery_pct,drawdown_pct,0.9,0.85,72,-12.5,875.0,99,99,198,101,51.5,63.28,57.34
close_position+bb_position+recovery_pct,bb_position,0.9,0.8,48,-12.5,875.02,137,144,281,109,31.9,63.28,57.34
close_position+recovery_pct,close_position,0.9,0.65,12,-12.51,874.88,286,288,574,1199,59.7,63.27,57.33
close_position+recovery_pct,bb_position,0.8,0.6,48,-12.51,874.93,157,156,313,263,59.6,63.27,57.33
close_position,drawdown_pct,0.8,0.8,48,-12.53,874.69,152,155,307,47,43.9,63.25,57.31
close_position,close_position+drawdown_pct,0.9,0.8,48,-12.53,874.65,126,128,254,224,44.5,63.25,57.31
recovery_pct,close_position,0.85,0.6,48,-12.53,874.67,150,150,300,368,54.7,63.25,57.31
close_position+bb_position+recovery_pct,drawdown_pct+bb_position,0.6,0.6,48,-12.53,874.68,165,165,330,164,54.5,63.25,57.31
close_position+bb_position,bb_position,0.75,0.65,48,-12.54,874.57,163,163,326,129,50.3,63.24,57.3
close_position+recovery_pct,close_position,0.9,0.8,72,-12.54,874.6,99,99,198,117,55.6,63.24,57.3
close_position+bb_position+recovery_pct,drawdown_pct+bb_position,0.85,0.6,72,-12.54,874.56,107,107,214,303,57.0,63.24,57.3
close_position+bb_position+recovery_pct,drawdown_pct+bb_position,0.85,0.65,72,-12.54,874.55,107,107,214,229,53.3,63.24,57.3
bb_position,bb_position,0.9,0.8,72,-12.56,874.36,107,107,214,66,50.5,63.22,57.28
recovery_pct,close_position+bb_position,0.9,0.7,72,-12.56,874.4,104,104,208,229,59.6,63.22,57.28
recovery_pct,drawdown_pct+bb_position,0.7,0.65,72,-12.56,874.43,109,109,218,208,56.0,63.22,57.28
close_position+recovery_pct,drawdown_pct,0.75,0.75,48,-12.56,874.42,159,157,316,86,51.6,63.22,57.28
close_position+recovery_pct,bb_position,0.7,0.6,72,-12.56,874.39,111,111,222,294,61.3,63.22,57.28
bb_position,close_position+drawdown_pct,0.9,0.75,72,-12.58,874.2,107,107,214,93,55.1,63.2,57.26
bb_position,drawdown_pct,0.9,0.75,72,-12.6,873.98,107,107,214,172,56.1,63.18,57.24
recovery_pct,drawdown_pct,0.75,0.75,48,-12.6,874.02,159,158,317,75,53.2,63.18,57.24
recovery_pct,close_position+bb_position,0.75,0.6,24,-12.63,873.7,263,266,529,565,54.9,63.15,57.21
bb_position,bb_position,0.9,0.65,96,-12.64,873.56,84,84,168,201,60.7,63.14,57.2
close_position+bb_position+recovery_pct,close_position,0.9,0.65,72,-12.64,873.56,100,100,200,359,59.0,63.14,57.2
recovery_pct,bb_position,0.65,0.65,48,-12.65,873.47,163,162,325,105,51.9,63.13,57.19
recovery_pct,bb_position,0.85,0.75,72,-12.65,873.54,105,105,210,160,57.1,63.13,57.19
close_position+bb_position+recovery_pct,drawdown_pct+bb_position,0.9,0.75,48,-12.65,873.49,137,141,278,211,46.8,63.13,57.19
bb_position,drawdown_pct,0.9,0.6,72,-12.66,873.36,107,107,214,294,53.3,63.12,57.18
close_position+bb_position,bb_position,0.85,0.6,72,-12.66,873.4,107,107,214,370,62.6,63.12,57.18
bb_position+recovery_pct,bb_position,0.8,0.7,72,-12.66,873.45,109,109,218,142,53.2,63.12,57.18
recovery_pct,close_position+drawdown_pct,0.75,0.65,72,-12.69,873.12,109,109,218,180,48.6,63.09,57.15
close_position+bb_position,drawdown_pct+bb_position,0.85,0.8,72,-12.69,873.1,107,107,214,58,52.3,63.09,57.15
close_position+recovery_pct,close_position+bb_position,0.8,0.7,48,-12.69,873.13,157,156,313,115,51.3,63.09,57.15
recovery_pct,close_position+bb_position,0.7,0.6,72,-12.71,872.91,109,109,218,305,57.8,63.07,57.13
close_position+bb_position,close_position+drawdown_pct+bb_position,0.85,0.7,72,-12.71,872.93,107,107,214,145,55.1,63.07,57.13
bb_position+recovery_pct,drawdown_pct,0.8,0.65,48,-12.71,872.94,157,157,314,241,58.0,63.07,57.13
close_position+bb_position+recovery_pct,close_position,0.9,0.75,48,-12.72,872.81,137,138,275,209,56.5,63.06,57.12
close_position,drawdown_pct+bb_position,0.9,0.7,72,-12.73,872.73,95,95,190,357,55.8,63.05,57.11
close_position+bb_position,drawdown_pct,0.85,0.75,72,-12.75,872.48,107,107,214,151,55.1,63.03,57.09
close_position+recovery_pct,close_position+drawdown_pct+bb_position,0.65,0.65,72,-12.75,872.49,114,113,227,116,48.7,63.03,57.09
close_position+recovery_pct,close_position+drawdown_pct+bb_position,0.8,0.6,72,-12.76,872.38,108,108,216,276,52.8,63.02,57.08
close_position,close_position,0.65,0.6,96,-12.77,872.29,90,90,180,10,50.0,63.01,57.07
recovery_pct,drawdown_pct+bb_position,0.7,0.6,72,-12.78,872.2,109,109,218,281,57.8,63.0,57.06
close_position+bb_position,close_position,0.65,0.6,96,-12.78,872.25,90,90,180,2,52.2,63.0,57.06
close_position+recovery_pct,bb_position,0.75,0.6,48,-12.78,872.23,159,158,317,246,58.9,63.0,57.06
bb_position+recovery_pct,close_position+drawdown_pct,0.8,0.65,72,-12.8,872.0,109,109,218,223,56.0,62.98,57.04
bb_position,close_position+drawdown_pct+bb_position,0.9,0.75,72,-12.81,871.94,107,107,214,93,55.1,62.97,57.03
recovery_pct,bb_position,0.6,0.65,48,-12.83,871.72,163,163,326,104,52.8,62.95,57.01
close_position+recovery_pct,close_position+bb_position,0.8,0.75,72,-12.83,871.74,108,108,216,89,52.8,62.95,57.01
close_position+bb_position+recovery_pct,bb_position,0.8,0.8,72,-12.83,871.75,109,109,218,37,46.8,62.95,57.01
close_position+bb_position,close_position+drawdown_pct,0.8,0.7,72,-12.85,871.52,111,110,221,107,56.4,62.93,56.99
close_position+recovery_pct,close_position+drawdown_pct+bb_position,0.85,0.6,72,-12.85,871.47,105,105,210,343,57.1,62.93,56.99
close_position,close_position+bb_position,0.6,0.6,24,-12.86,871.36,285,290,575,349,47.2,62.92,56.98
close_position,drawdown_pct+bb_position,0.9,0.9,48,-12.86,871.41,125,130,255,61,41.5,62.92,56.98
recovery_pct,bb_position,0.8,0.65,72,-12.86,871.45,107,107,214,241,57.0,62.92,56.98
close_position+bb_position+recovery_pct,bb_position,0.9,0.65,72,-12.86,871.36,100,100,200,423,56.0,62.92,56.98
recovery_pct,bb_position,0.85,0.6,48,-12.87,871.25,150,150,300,391,60.7,62.91,56.97
recovery_pct,drawdown_pct,0.75,0.75,72,-12.88,871.19,109,109,218,111,50.5,62.9,56.96
close_position+bb_position,close_position+bb_position,0.9,0.85,72,-12.88,871.19,101,101,202,56,56.4,62.9,56.96
close_position+recovery_pct,close_position+drawdown_pct,0.9,0.85,72,-12.88,871.19,99,99,198,70,48.5,62.9,56.96
close_position+recovery_pct,close_position+drawdown_pct+bb_position,0.7,0.7,72,-12.89,871.05,111,111,222,121,60.4,62.89,56.95
close_position,close_position,0.8,0.6,24,-12.9,871.01,261,264,525,537,53.8,62.88,56.94
bb_position+recovery_pct,close_position+drawdown_pct+bb_position,0.8,0.65,72,-12.9,871.02,109,109,218,234,56.9,62.88,56.94
bb_position+recovery_pct,close_position,0.85,0.8,96,-12.92,870.82,84,85,169,0,48.2,62.86,56.92
close_position+bb_position+recovery_pct,bb_position,0.85,0.7,72,-12.92,870.75,107,107,214,172,56.1,62.86,56.92
recovery_pct,drawdown_pct,0.8,0.6,48,-12.93,870.66,156,156,312,341,60.3,62.85,56.91
bb_position+recovery_pct,drawdown_pct+bb_position,0.8,0.75,72,-12.93,870.66,109,109,218,78,54.1,62.85,56.91
close_position+recovery_pct,bb_position,0.7,0.65,72,-12.94,870.61,111,111,222,208,59.5,62.84,56.9
close_position,drawdown_pct,0.9,0.6,48,-12.95,870.48,126,126,252,875,58.7,62.83,56.89
close_position,drawdown_pct,0.9,0.75,48,-12.96,870.38,126,126,252,488,56.3,62.82,56.88
bb_position,drawdown_pct+bb_position,0.9,0.85,72,-12.96,870.43,107,107,214,25,49.5,62.82,56.88
close_position+bb_position,close_position+bb_position,0.9,0.75,72,-12.96,870.36,101,101,202,163,54.5,62.82,56.88
close_position+recovery_pct,close_position+drawdown_pct,0.8,0.65,72,-12.96,870.43,108,108,216,213,49.1,62.82,56.88
close_position,close_position+bb_position,0.75,0.75,72,-12.97,870.27,112,111,223,28,49.5,62.81,56.87
bb_position,drawdown_pct+bb_position,0.7,0.6,48,-12.97,870.28,163,163,326,208,52.8,62.81,56.87
close_position,close_position+drawdown_pct,0.9,0.65,48,-12.98,870.18,126,126,252,680,57.9,62.8,56.86
close_position+recovery_pct,close_position,0.65,0.6,48,-12.98,870.18,163,165,328,153,53.9,62.8,56.86
bb_position+recovery_pct,bb_position,0.8,0.65,72,-12.99,870.08,109,109,218,201,56.9,62.79,56.85
close_position+recovery_pct,close_position+drawdown_pct,0.8,0.65,48,-13.0,870.02,157,156,313,191,55.8,62.78,56.84
close_position+recovery_pct,close_position+bb_position,0.85,0.7,72,-13.0,869.97,105,105,210,201,59.0,62.78,56.84
recovery_pct,close_position+bb_position,0.85,0.75,72,-13.01,869.92,105,105,210,130,56.2,62.77,56.83
close_position+bb_position,drawdown_pct,0.75,0.65,72,-13.01,869.94,114,114,228,62,43.0,62.77,56.83
close_position+recovery_pct,close_position,0.85,0.65,72,-13.01,869.91,105,105,210,247,56.2,62.77,56.83
close_position,bb_position,0.65,0.65,72,-13.03,869.67,116,115,231,71,50.4,62.75,56.81
bb_position,drawdown_pct+bb_position,0.85,0.6,48,-13.04,869.64,155,155,310,347,58.7,62.74,56.8
recovery_pct,drawdown_pct,0.8,0.65,48,-13.04,869.57,156,156,312,256,59.0,62.74,56.8
bb_position,bb_position,0.85,0.65,48,-13.06,869.43,155,155,310,220,53.5,62.72,56.78
close_position+bb_position,close_position+bb_position,0.85,0.65,72,-13.06,869.41,107,107,214,248,54.2,62.72,56.78
close_position+recovery_pct,drawdown_pct+bb_position,0.8,0.7,48,-13.07,869.28,157,156,313,116,51.9,62.71,56.77
bb_position,drawdown_pct,0.9,0.6,96,-13.08,869.25,84,84,168,222,59.5,62.7,56.76
close_position+bb_position+recovery_pct,close_position,0.85,0.6,72,-13.08,869.16,107,107,214,307,55.1,62.7,56.76
bb_position,drawdown_pct+bb_position,0.9,0.75,72,-13.1,869.0,107,107,214,97,54.2,62.68,56.74
close_position+bb_position,close_position+drawdown_pct,0.85,0.75,72,-13.1,869.0,107,107,214,96,55.1,62.68,56.74
close_position+bb_position,close_position+bb_position,0.85,0.75,96,-13.1,868.99,84,84,168,91,53.6,62.68,56.74
close_position+bb_position+recovery_pct,drawdown_pct,0.65,0.6,72,-13.1,868.97,115,114,229,104,49.1,62.68,56.74
recovery_pct,bb_position,0.75,0.75,96,-13.11,868.93,87,87,174,32,52.9,62.67,56.73
close_position+recovery_pct,close_position,0.8,0.6,72,-13.11,868.9,108,108,216,287,52.8,62.67,56.73
close_position,bb_position,0.7,0.6,48,-13.13,868.71,164,164,328,141,51.8,62.65,56.71
close_position+recovery_pct,drawdown_pct,0.9,0.7,72,-13.13,868.67,99,99,198,287,59.6,62.65,56.71
bb_position,bb_position,0.7,0.65,48,-13.14,868.57,163,163,326,134,50.3,62.64,56.7
bb_position,drawdown_pct+bb_position,0.9,0.85,96,-13.14,868.57,84,83,167,42,59.0,62.64,56.7
close_position+recovery_pct,bb_position,0.7,0.65,48,-13.14,868.65,162,161,323,130,51.6,62.64,56.7
close_position,drawdown_pct+bb_position,0.8,0.7,48,-13.15,868.54,152,157,309,95,46.5,62.63,56.69
recovery_pct,close_position,0.75,0.75,72,-13.16,868.37,109,109,218,52,50.5,62.62,56.68
close_position+bb_position+recovery_pct,bb_position,0.75,0.75,72,-13.16,868.4,111,111,222,43,48.6,62.62,56.68
close_position+recovery_pct,bb_position,0.9,0.6,48,-13.18,868.22,133,133,266,688,59.4,62.6,56.66
close_position+recovery_pct,drawdown_pct+bb_position,0.85,0.6,48,-13.18,868.18,146,146,292,489,58.2,62.6,56.66
close_position+bb_position+recovery_pct,close_position+bb_position,0.85,0.6,24,-13.18,868.19,248,250,498,693,58.4,62.6,56.66
close_position,close_position+drawdown_pct,0.9,0.85,48,-13.19,868.06,125,131,256,87,38.2,62.59,56.65
close_position,close_position+drawdown_pct+bb_position,0.9,0.6,48,-13.19,868.09,126,126,252,798,57.9,62.59,56.65
bb_position+recovery_pct,close_position,0.8,0.6,24,-13.19,868.05,258,262,520,568,55.3,62.59,56.65
close_position,close_position+drawdown_pct,0.75,0.75,72,-13.2,868.02,112,111,223,47,50.5,62.58,56.64
recovery_pct,bb_position,0.75,0.65,72,-13.2,868.02,109,109,218,222,55.0,62.58,56.64
close_position+bb_position,bb_position,0.85,0.8,72,-13.2,868.04,107,107,214,72,54.2,62.58,56.64
close_position+bb_position,close_position+bb_position,0.8,0.7,72,-13.21,867.86,111,110,221,132,54.5,62.57,56.63
bb_position,drawdown_pct,0.8,0.85,96,-13.22,867.8,86,86,172,11,44.2,62.56,56.62
recovery_pct,drawdown_pct+bb_position,0.75,0.7,48,-13.22,867.83,159,158,317,86,50.6,62.56,56.62
bb_position+recovery_pct,drawdown_pct,0.8,0.7,72,-13.22,867.77,109,109,218,172,54.1,62.56,56.62
close_position+bb_position+recovery_pct,drawdown_pct+bb_position,0.75,0.75,96,-13.23,867.7,89,88,177,2,48.9,62.55,56.61
bb_position,close_position+bb_position,0.9,0.8,96,-13.24,867.65,84,84,168,34,56.0,62.54,56.6
bb_position,close_position+drawdown_pct+bb_position,0.8,0.75,96,-13.24,867.58,86,86,172,44,48.8,62.54,56.6
close_position,bb_position,0.75,0.7,72,-13.25,867.49,112,111,223,91,55.9,62.53,56.59
close_position,close_position+drawdown_pct+bb_position,0.9,0.8,96,-13.25,867.51,74,74,148,188,58.1,62.53,56.59
close_position,close_position+bb_position,0.85,0.65,48,-13.26,867.35,140,140,280,440,57.1,62.52,56.58
close_position+bb_position,bb_position,0.8,0.6,96,-13.26,867.45,87,87,174,146,49.4,62.52,56.58
close_position+recovery_pct,close_position+drawdown_pct,0.85,0.65,72,-13.28,867.2,105,105,210,261,53.3,62.5,56.56
close_position+recovery_pct,drawdown_pct+bb_position,0.9,0.7,72,-13.28,867.19,99,99,198,269,60.6,62.5,56.56
bb_position,close_position,0.75,0.65,72,-13.29,867.12,115,114,229,66,45.6,62.49,56.55
close_position+bb_position+recovery_pct,drawdown_pct+bb_position,0.65,0.65,72,-13.29,867.13,115,114,229,80,48.2,62.49,56.55
close_position,drawdown_pct,0.8,0.75,48,-13.32,866.8,152,154,306,91,45.5,62.46,56.52
close_position+recovery_pct,bb_position,0.8,0.6,72,-13.32,866.82,108,108,216,333,54.6,62.46,56.52
close_position+bb_position,bb_position,0.7,0.6,48,-13.33,866.67,164,164,328,151,51.8,62.45,56.51
close_position+bb_position,close_position+drawdown_pct+bb_position,0.9,0.65,48,-13.33,866.65,138,138,276,481,60.1,62.45,56.51
close_position+recovery_pct,drawdown_pct,0.8,0.7,48,-13.34,866.62,157,156,313,152,55.8,62.44,56.5
close_position+recovery_pct,drawdown_pct+bb_position,0.65,0.65,72,-13.34,866.61,114,113,227,113,48.7,62.44,56.5
close_position+recovery_pct,close_position+bb_position,0.65,0.6,24,-13.36,866.36,279,282,561,404,53.2,62.42,56.48
recovery_pct,close_position+drawdown_pct+bb_position,0.8,0.6,72,-13.37,866.32,107,107,214,336,53.3,62.41,56.47
close_position+recovery_pct,drawdown_pct+bb_position,0.85,0.6,72,-13.38,866.25,105,105,210,332,57.1,62.4,56.46
recovery_pct,bb_position,0.75,0.7,72,-13.4,866.02,109,109,218,157,54.1,62.38,56.44
close_position+recovery_pct,close_position+bb_position,0.9,0.85,72,-13.4,865.97,99,99,198,70,53.5,62.38,56.44
recovery_pct,bb_position,0.7,0.8,96,-13.41,865.9,87,86,173,27,52.3,62.37,56.43
close_position+recovery_pct,close_position,0.75,0.65,48,-13.41,865.95,159,158,317,181,53.8,62.37,56.43
close_position+recovery_pct,bb_position,0.85,0.65,72,-13.41,865.92,105,105,210,276,57.1,62.37,56.43
close_position+bb_position+recovery_pct,close_position,0.9,0.7,72,-13.41,865.89,100,100,200,251,57.0,62.37,56.43
close_position+bb_position+recovery_pct,close_position+bb_position,0.8,0.6,24,-13.41,865.89,260,263,523,543,54.8,62.37,56.43
close_position+bb_position,close_position,0.9,0.7,48,-13.42,865.77,138,142,280,298,45.1,62.36,56.42
close_position+recovery_pct,close_position+drawdown_pct+bb_position,0.9,0.7,72,-13.43,865.67,99,99,198,250,59.6,62.35,56.41
recovery_pct,bb_position,0.85,0.7,72,-13.44,865.59,105,105,210,231,57.1,62.34,56.4
bb_position+recovery_pct,close_position,0.85,0.6,24,-13.44,865.63,249,252,501,662,57.9,62.34,56.4
close_position+bb_position+recovery_pct,close_position+drawdown_pct,0.85,0.8,72,-13.44,865.59,107,107,214,57,52.3,62.34,56.4
close_position+bb_position+recovery_pct,close_position+bb_position,0.85,0.65,24,-13.44,865.6,248,252,500,494,53.2,62.34,56.4
recovery_pct,close_position+bb_position,0.8,0.6,72,-13.45,865.51,107,107,214,328,55.1,62.33,56.39
close_position+recovery_pct,close_position,0.85,0.6,24,-13.45,865.48,242,242,484,797,62.4,62.33,56.39
close_position,close_position,0.8,0.7,48,-13.46,865.39,152,154,306,128,50.0,62.32,56.38
close_position+recovery_pct,drawdown_pct+bb_position,0.65,0.7,72,-13.46,865.43,114,113,227,79,48.7,62.32,56.38
close_position+recovery_pct,close_position+drawdown_pct+bb_position,0.8,0.75,48,-13.47,865.33,157,156,313,63,50.0,62.31,56.37
close_position+recovery_pct,drawdown_pct+bb_position,0.75,0.7,48,-13.48,865.17,159,158,317,93,50.6,62.3,56.36
close_position+recovery_pct,drawdown_pct+bb_position,0.85,0.65,72,-13.48,865.15,105,105,210,251,56.2,62.3,56.36
close_position+recovery_pct,close_position+drawdown_pct,0.8,0.6,72,-13.49,865.06,108,108,216,256,50.0,62.29,56.35
close_position+bb_position+recovery_pct,bb_position,0.9,0.6,48,-13.5,864.95,137,137,274,652,60.6,62.28,56.34
bb_position,bb_position,0.75,0.6,48,-13.51,864.85,162,162,324,204,54.3,62.27,56.33
recovery_pct,bb_position,0.7,0.65,72,-13.51,864.93,109,109,218,255,57.8,62.27,56.33
close_position+bb_position,close_position,0.9,0.6,12,-13.51,864.93,308,308,616,1424,62.0,62.27,56.33
close_position+recovery_pct,close_position,0.6,0.6,48,-13.51,864.92,164,166,330,118,51.8,62.27,56.33
close_position+recovery_pct,drawdown_pct,0.9,0.75,72,-13.51,864.91,99,99,198,235,58.6,62.27,56.33
close_position+recovery_pct,close_position+bb_position,0.8,0.6,48,-13.52,864.76,157,156,313,287,56.4,62.26,56.32
close_position+bb_position+recovery_pct,close_position+bb_position,0.85,0.6,72,-13.52,864.8,107,107,214,339,54.2,62.26,56.32
recovery_pct,bb_position,0.75,0.6,48,-13.54,864.57,159,158,317,234,58.9,62.24,56.3
recovery_pct,close_position+drawdown_pct+bb_position,0.7,0.75,72,-13.54,864.62,109,109,218,76,55.0,62.24,56.3
close_position+recovery_pct,close_position+drawdown_pct,0.9,0.8,72,-13.54,864.65,99,99,198,126,56.6,62.24,56.3
close_position+bb_position+recovery_pct,bb_position,0.8,0.75,96,-13.54,864.55,89,88,177,7,50.0,62.24,56.3
recovery_pct,close_position+bb_position,0.9,0.65,72,-13.56,864.39,104,104,208,307,59.6,62.22,56.28
close_position+recovery_pct,drawdown_pct+bb_position,0.8,0.65,72,-13.56,864.43,108,108,216,217,51.9,62.22,56.28
bb_position+recovery_pct,drawdown_pct,0.8,0.65,72,-13.58,864.24,109,109,218,234,55.0,62.2,56.26
bb_position+recovery_pct,close_position+drawdown_pct,0.8,0.7,72,-13.59,864.15,109,109,218,146,57.8,62.19,56.25
close_position+bb_position+recovery_pct,close_position+bb_position,0.9,0.6,72,-13.59,864.12,100,100,200,509,57.0,62.19,56.25
close_position+bb_position+recovery_pct,close_position+drawdown_pct+bb_position,0.85,0.65,72,-13.59,864.1,107,107,214,223,51.4,62.19,56.25
bb_position,drawdown_pct+bb_position,0.75,0.6,48,-13.62,863.81,162,162,324,221,53.7,62.16,56.22
bb_position+recovery_pct,close_position+bb_position,0.8,0.65,72,-13.63,863.66,109,109,218,205,57.8,62.15,56.21
close_position+recovery_pct,drawdown_pct,0.75,0.7,48,-13.64,863.58,159,158,317,125,53.2,62.14,56.2
close_position+recovery_pct,close_position+bb_position,0.65,0.6,48,-13.64,863.63,163,165,328,153,53.9,62.14,56.2
bb_position+recovery_pct,bb_position,0.9,0.75,72,-13.64,863.57,105,105,210,125,53.3,62.14,56.2
recovery_pct,close_position+bb_position,0.9,0.65,48,-13.66,863.38,142,143,285,379,51.7,62.12,56.18
close_position+recovery_pct,close_position+bb_position,0.85,0.85,72,-13.67,863.25,105,106,211,28,47.2,62.11,56.17
close_position+recovery_pct,drawdown_pct,0.65,0.6,72,-13.68,863.16,114,113,227,145,50.4,62.1,56.16
close_position+recovery_pct,drawdown_pct,0.8,0.65,72,-13.68,863.18,108,108,216,205,44.4,62.1,56.16
close_position+recovery_pct,close_position+drawdown_pct+bb_position,0.85,0.65,72,-13.68,863.22,105,105,210,249,55.2,62.1,56.16
recovery_pct,drawdown_pct,0.8,0.6,72,-13.69,863.14,107,107,214,324,53.3,62.09,56.15
close_position+recovery_pct,drawdown_pct,0.9,0.8,72,-13.7,863.01,99,99,198,169,56.6,62.08,56.14
close_position+bb_position+recovery_pct,close_position+bb_position,0.7,0.6,24,-13.7,863.04,278,281,559,424,54.4,62.08,56.14
recovery_pct,close_position+drawdown_pct,0.75,0.8,72,-13.71,862.86,109,109,218,25,51.4,62.07,56.13
close_position+bb_position,close_position+drawdown_pct+bb_position,0.85,0.75,72,-13.71,862.93,107,107,214,87,54.2,62.07,56.13
recovery_pct,close_position+drawdown_pct+bb_position,0.8,0.65,72,-13.73,862.7,107,107,214,259,51.4,62.05,56.11
close_position+recovery_pct,drawdown_pct,0.85,0.65,72,-13.73,862.68,105,105,210,261,52.4,62.05,56.11
recovery_pct,drawdown_pct+bb_position,0.75,0.65,72,-13.75,862.45,109,109,218,191,53.2,62.03,56.09
bb_position+recovery_pct,drawdown_pct,0.6,0.6,72,-13.75,862.46,115,114,229,106,47.4,62.03,56.09
recovery_pct,drawdown_pct,0.7,0.65,72,-13.76,862.44,109,109,218,227,55.0,62.02,56.08
close_position,bb_position,0.9,0.7,48,-13.77,862.31,126,126,252,530,53.2,62.01,56.07
recovery_pct,close_position,0.9,0.7,72,-13.79,862.14,104,104,208,186,57.7,61.99,56.05
close_position+bb_position,close_position+drawdown_pct+bb_position,0.8,0.7,72,-13.79,862.14,111,110,221,113,57.3,61.99,56.05
close_position,drawdown_pct,0.9,0.85,48,-13.82,861.76,126,127,253,229,49.6,61.96,56.02
close_position,close_position,0.9,0.7,48,-13.83,861.65,126,126,252,521,54.0,61.95,56.01
close_position+bb_position+recovery_pct,bb_position,0.85,0.65,72,-13.83,861.7,107,107,214,252,55.1,61.95,56.01
close_position+bb_position,close_position+bb_position,0.9,0.7,48,-13.84,861.59,138,138,276,391,59.4,61.94,56.0
close_position+bb_position+recovery_pct,bb_position,0.75,0.6,48,-13.84,861.6,162,161,323,202,57.1,61.94,56.0
close_position+recovery_pct,drawdown_pct+bb_position,0.9,0.85,72,-13.85,861.53,99,99,198,83,50.5,61.93,55.99
bb_position,drawdown_pct+bb_position,0.65,0.6,48,-13.86,861.45,163,163,326,216,53.4,61.92,55.98
